*** Diatom (incl. cell diameter in um) ***
   0   3.99       3.99       30.00          30.00
 250  0          0         0.0055       0
 325  0          0         0.0051       0
 350 0.015      0.015      0.0045       0
 375 0.016      0.016      0.0043       0
 400 0.0205     0.0205     0.00352    0.000000240
 425 0.0232     0.0232     0.00336    0.000000240
 450 0.0218     0.0218     0.00336    0.000000240
 475 0.0164     0.0164     0.00354    0.000000240
 500 0.0139     0.0139     0.00362    0.000000240
 525 0.0104     0.0104     0.00368    0.000000240
 550 0.0073     0.0073     0.00364    0.000000240
 575 0.0050     0.0050     0.00359    0.000000240
 600 0.0044     0.0044     0.00351    0.000000240
 625 0.0054     0.0054     0.00341    0.000000240
 650 0.0063     0.0063     0.00323    0.000000240
 675 0.0139     0.0139     0.00299    0.000000240
 700 0.0051     0.0051     0.00309    0.000000240
 725  0          0         0.0027      0
 775  0          0          0          0
 850  0          0          0          0
 950  0          0          0          0
1050  0          0          0          0
1150  0          0          0          0
1250  0          0          0          0
1350  0          0          0          0
1450  0          0          0          0
1550  0          0          0          0
1650  0          0          0          0
1750  0          0          0          0
1900  0          0          0          0
2200  0          0          0          0
2900  0          0          0          0
3700  0          0          0          0
